benchmark_label,max_new_tokens,tokens_per_sec,latency_e2e_s,acceptance_rate,kv_cache_verifier_mb,logical_draft_kv_bytes,sequence_length_tokens,display_name,tokens_per_sec_std_across_trials,speedup_mean,speedup_std,p_value_diff_vs_ar
ar,32,56.76532083302887,0.5649121010000004,,83.091456,83091456.0,271.48,AR (baseline),2.5702970579041,,,
ar,64,57.873901748238396,1.1066883139988932,,92.921856,92921856.0,303.48,AR (baseline),1.6055433496762257,,,
spec_fp16,32,37.398989979161705,0.8999505939550007,0.9996875,83.39865599999999,83398656.0,271.48,Spec FP16 draft,7.616188869446344,0.6592589128495149,0.13292890839236005,1.232908903907981e-88
spec_fp16,64,40.00629008771946,1.695018209979862,0.9995360576923076,93.229056,93229056.0,303.48,Spec FP16 draft,8.658657178095547,0.6915998070161601,0.1501106820861389,3.0574714764084747e-73
spec_quant_memonly,32,23.98653432464755,1.722321051530004,0.994811847874348,83.398656,50386816.0,271.48,Spec + INT KV (Memory-Only),12.062942177580567,0.4222001713809207,0.21150346104822,7.428472351491139e-280
spec_quant_memonly,64,24.53142714195826,3.385891943991616,0.9958339012857319,93.229056,56326016.0,303.48,Spec + INT KV (Memory-Only),12.428914136553388,0.42388610813247435,0.21484939278008672,1.1068496630018437e-275
spec_sparse,32,16.61531520023791,2.0692411886733195,0.5095252844226686,83.398656,42150047.52,271.48,Spec + Sparse draft,4.431444134625112,0.29347547611898717,0.08115909992224686,0.0
spec_sparse,64,15.796661699158484,4.322489402925191,0.47268413790705266,93.229056,42150175.52,303.48,Spec + Sparse draft,3.9421315470609417,0.2729201327560384,0.06723201906864736,0.0
spec_sparse_quant_memonly,32,11.363389726074917,3.3374630680911217,0.5091142898675229,83.398656,25466655.52,271.48,Spec + Sparse + INT KV (Memory-Only),4.787642933356801,0.20066971886602977,0.08587002299742023,0.0
spec_sparse_quant_memonly,64,11.256135830308569,6.732628592595478,0.4730399718015247,93.229056,25466783.52,303.48,Spec + Sparse + INT KV (Memory-Only),4.672660958681579,0.19446827804843003,0.08031767694319858,0.0
